Participant,uppercase value,maps to body part concept,maps to preservation type concept,in language,with n (Occurrences) =,,,,,,,,,,,,,,,,notes
Molly Hagemann,M. HUKARI 040,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,M. HUKARI 162,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,M.MOON/G.SHUGART,blank,,,5,,,,,,,,,,,,,,,,
Molly Hagemann,MANDIBLE FRAGMENT,,,,17,,,,,,,,,,,,,,,,
Molly Hagemann,MANDIBLE; QUADRATE,,,,2,,,,,,,,,,,,,,,,
Molly Hagemann,MIKE DEY,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"MISC: DRIED TONGUE AND ""GIZZARD""",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,MOUNT/SKELETON/TISSUE,,,,2,,,,,,,,,,,,,,,,
Molly Hagemann,"MUSCLE (FROZEN); SKIN, STUDY; SKELETON, PARTIAL; HEART, KIDNEY, LIVER (FROZEN); MUSCLE (FROZEN) SAMPLE; MUSCLE (FROZEN) SAMPLE",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"MUSCLE (FROZEN); WING; SKELETON, PARTIAL",,,,5,,,,,,,,,,,,,,,,
Molly Hagemann,"NEARLY COMPLETE SKIN (NO BILL), SKEL, STOMACH",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,NEST + 3 EGGS,,,,2,,,,,,,,,,,,,,,,
Molly Hagemann,NEST(S) | NO TREATMENT,,,,4,,,,,,,,,,,,,,,,
Molly Hagemann,O. T. GOCKMAN 10,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,ONE WING,,,,7,,,,,,,,,,,,,,,,
Molly Hagemann,OTHER (UNKNOWN),,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,P SKEL - 1; STUDY - 1; TISSUE - 1,,,,32,,,,,,,,,,,,,,,,
Molly Hagemann,P SKEL - 1; STUDY; TISSUE - 2; WING - 1,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,P SKEL - 1; WING - 1; TISSUE - 2,,,,43,,,,,,,,,,,,,,,,
Molly Hagemann,P. GOSSE,blank,,,2,,,,,,,,,,,,,,,,
Molly Hagemann,PALEO:  CARPOMETACARPUS,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PALEO: 1 PREMAXILLARY FRAG.,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PALEO: CORACOID FRAG.,blank,,,2,,,,,,,,,,,,,,,,
Molly Hagemann,PALEO: COROCOID FRAGMENT,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PALEO: MANUAL? PHALANX FRAGMENT,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PALEO: RADIUS (?) FRAGMENT,blank,,,11,,,,,,,,,,,,,,,,
Molly Hagemann,PALEO:UNGUAL PHALANX,blank,,,3,,,,,,,,,,,,,,,,
Molly Hagemann,PARASITES; TISSUE; SWAB; FLUID POST-CRAN IN ETOH; SKIN STUDY; FLUID STOMACH IN ALC; TOEPAD; FEATHER,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PART SKEL + MISC: FEATHERS,,,,6,,,,,,,,,,,,,,,,
Molly Hagemann,PART SKEL; TISSUE; ROUND SKIN,,,,9,,,,,,,,,,,,,,,,
Molly Hagemann,PART SKELETON + MATRIX,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PARTIAL SKELETON (SUBFOSSIL); PARTIAL SKELETON (SUBFOSSIL); PARTIAL SKELETON (SUBFOSSIL); PARTIAL SKELETON (SUBFOSSIL); PARTIAL SKELETON (SUBFOSSIL); PARTIAL SKELETON (SUBFOSSIL); PARTIAL SKELETON (SUBFOSSIL); PARTIAL SKELETON (SUBFOSSIL); PARTIAL SKELETON (SUBFOSSIL); PARTIAL SKELETON (SUBFOSSIL); PARTIAL SKELETON (SUBFOSSIL); PARTIAL SKELETON (SUBFOSSIL),,,,2,,,,,,,,,,,,,,,,
Molly Hagemann,PARTIAL SKELETON; SKELETON,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PARTIAL SKIN (DRY); PARTIAL SKELETON (DRY),,,,6,,,,,,,,,,,,,,,,
Molly Hagemann,PEDRER (ALCOHOL ETÍLIC 96º),,,,4,,,,,,,,,,,,,,,,
Molly Hagemann,PETER CUQ,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,POSTCRANIAL SKELETON (PARTIAL) | SKIN (ROUND),,,,180,,,,,,,,,,,,,,,,
Molly Hagemann,"POSTCRANIAL SKELETON (PARTIAL) | SKIN (ROUND) | MUSCLE, LIVER, HEART, KIDNEY, FAT, BRAIN",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"POSTCRANIAL SKELETON (PARTIAL) | SKULL (COMPLETE) | MUSCLE, LIVER, HEART, KIDNEY | ONE WING",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER 14218B,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 0253 B1 341,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 043.034,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 0671 B1 306,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 0728 B1 216,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 0927 B1 205,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 152-228,blank,,,2,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 326-180,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 373-211,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 410-406,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 425-398,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 426-209,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 468-227,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 469-406,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 484-39,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 496-068,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 554-341,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 561-341,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 578-341,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 583-341,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 759-208,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 811-116,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 831-229?,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 871 B1 50,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,PREPARATIENUMMER: 958-265,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 007,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 078,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 081,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 1021,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 1027,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 103,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 1062,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 1066,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 1101,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 1127,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 1137,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 1189,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 1229,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 1295,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 1312,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 1374,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 1382,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 174,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 182,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 292,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 409,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 431,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 453,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 465,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 507,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 692,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 784,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 809,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 827,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 839,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 863,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 893,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 895,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 922,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER 975,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. D. DROKER B-39,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. DELLES 03,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. DROKER 1111,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. E. DELLES 14,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. GROGAN,blank,,,22,,,,,,,,,,,,,,,,
Molly Hagemann,R. S. SINGH AY3,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R. S. SINGH BV101,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R.D. DROKER 207,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,R.D. DROKER 229,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,RNP 024,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,RNP 033,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,RNP 093,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,RNP 095,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,ROSTRUM,,,,3,,,,,,,,,,,,,,,,
Molly Hagemann,S. M. RAY,blank,,,3,,,,,,,,,,,,,,,,
Molly Hagemann,S. VAN DE PUTTE 02,blank,,,2,,,,,,,,,,,,,,,,
Molly Hagemann,S.G. JEWETT 10031,blank,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SANGRE | SIRINGE | TEJIDO | CUERPO | PIEL,,,,4,,,,,,,,,,,,,,,,
Molly Hagemann,SCHMOO AND SKELETON | TISSUE,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKEL - 1; SKIN; FROZEN TISSUE - 1,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKEL, WING, FEATHERS",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKEL; EXCH; BROKEN SKULL & STERNUM; |TISSUE; Y; M, H;",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKEL; EXCH; EXCH TO ALDEN MILLER, DEC. 20, 1934.",,,,3,,,,,,,,,,,,,,,,
Molly Hagemann,SKEL; EXCH; EXCH TO BRODKORB 28 MAR 1955,,,,2,,,,,,,,,,,,,,,,
Molly Hagemann,SKEL; EXCH; EXCH TO KANSAS MUS. NAT. HISTORY. 19 APR 1981,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKEL; EXCH; EXCH TO MUSEUM KOENIG MAR. 1987,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKEL; EXCH; SKELETON EXCHANGED TO KOUROTCHKIN, LENINGRAD.|SKIN; Y;",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKEL; N; STERNUM & PECTORAL GIRDLE; |SKIN; Y;,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKEL; Y; |SYRINX; Y; |TISSUE; Y; M, H; |WINGS_TAIL; Y; R SPREAD WING;",,,,2,,,,,,,,,,,,,,,,
Molly Hagemann,SKEL; Y; |TISSUE; Y; |WINGS_TAIL; Y; L SPREAD WING;,,,,16,,,,,,,,,,,,,,,,
Molly Hagemann,SKEL; Y; |WINGS_TAIL; Y; SPREAD WING ONLY;,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKEL; Y; BODY SKEL;,,,,5,,,,,,,,,,,,,,,,
Molly Hagemann,SKEL; Y; BULLA AND PART OF TRACHEA ONLY;,,,,2,,,,,,,,,,,,,,,,
Molly Hagemann,SKEL; Y; L WING MISSING;,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKEL; Y; MISSING A SIGNIFICANT PORTION OF SKELETON;,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKEL; Y; MISSING HEAD;,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKEL; Y; ONLY SKULL, MANDIBLE, EYE RINGS, HYOID, 5 VERTEBRAE;",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKEL; Y; PARTIAL SKEL; |SKIN; Y; |TISSUE; Y;,,,,60,,,,,,,,,,,,,,,,
Molly Hagemann,"SKEL; Y; PARTIAL SKEL; |SKIN; Y; |TISSUE; Y; M, L;",,,,3,,,,,,,,,,,,,,,,
Molly Hagemann,"SKEL; Y; PARTIAL; |SKIN; Y; SPREAD WING; |TISSUE; Y; M, H;",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKEL; Y; PIECES OF HUMERI ONLY; |SKIN; Y; |TISSUE; Y; M, H;",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKEL; Y; PRESERVED FROM FLUID PRESERVED SPECIMEN,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKEL; Y; SKEL PARTIAL; |SKIN; Y; |SYRINX; Y; |TISSUE; U;,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKEL; Y; TRUNK ONLY; |SKIN; Y; |THIN SECTION; Y; |TISSUE; Y; M, H;",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKEL. & PARTIAL SKIN,,,,2,,,,,,,,,,,,,,,,
Molly Hagemann,SKELETON - ; COMPLETE SKELETON,,,,2297,,,,,,,,,,,,,,,,
Molly Hagemann,SKELETON - ; LEG ELEMENTS ONLY,,,,66,,,,,,,,,,,,,,,,
Molly Hagemann,SKELETON - ; PIECES,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKELETON - ; SKULL & LEGS.,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKELETON - ; STERNUM & OSS,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKELETON - 1; MISC. - 1,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKELETON - CASTS,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKELETON (DRY); TISSUE (FROZEN: VAPOR PHASE NITROGEN); TISSUE (FROZEN: VAPOR PHASE NITROGEN); TISSUE (FROZEN: VAPOR PHASE NITROGEN); TISSUE (FROZEN: VAPOR PHASE NITROGEN),,,,5,,,,,,,,,,,,,,,,
Molly Hagemann,SKELETON (DRY); TISSUE (FROZEN: VAPOR PHASE NITROGEN); TISSUE (FROZEN: VAPOR PHASE NITROGEN); TISSUE (FROZEN: VAPOR PHASE NITROGEN); TISSUE (FROZEN: VAPOR PHASE NITROGEN) SAMPLE,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKELETON (PARTIAL SKELETON), TISSUE (DMSO/EDTA BUFFER), SKIN (PARTIAL SKELETON), TISSUE (DMSO/EDTA BUFFER), SKIN (PARTIAL SKELETON)",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKELETON (SKELETON) (SKELETON) (SKELETON),,,,104,,,,,,,,,,,,,,,,
Molly Hagemann,"SKELETON, MICROTECHNIQUE, MICROTECHNIQUE",,,,2,,,,,,,,,,,,,,,,
Molly Hagemann,"SKELETON, PARTIAL; KIDNEY (FROZEN); LIVER (FROZEN); MUSCLE (FROZEN)",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKELETON, PARTIAL; SKIN, STUDY; HEART; LIVER; MUSCLE (FROZEN)",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKELETON, PARTIAL; SKIN, STUDY; KIDNEY (FROZEN); MUSCLE (FROZEN)",,,,7,,,,,,,,,,,,,,,,
Molly Hagemann,"SKELETON, PARTIAL; WING; HEART, KIDNEY, LIVER, MUSCLE (FROZEN)",,,,12,,,,,,,,,,,,,,,,
Molly Hagemann,"SKELETON, TISSUE (100% ETHANOL)",,,,148,,,,,,,,,,,,,,,,
Molly Hagemann,SKELETON; COMPLETE; JUVENILE,,,,5,,,,,,,,,,,,,,,,
Molly Hagemann,"SKELETON; FEATHER; LIVER (FROZEN); HEART, KIDNEY, MUSCLE (FROZEN)",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKELETON; HEART, LIVER, MUSCLE (FROZEN); BRAIN (FROZEN)",,,,8,,,,,,,,,,,,,,,,
Molly Hagemann,SKELETON; MUSCLE (FROZEN); KIDNEY (FROZEN); ECTOPARASITE (ETHANOL),,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKELETON; MUSCLE (FROZEN); LIVER (FROZEN); HEART (FROZEN),,,,4,,,,,,,,,,,,,,,,
Molly Hagemann,SKELETON: WHOLE; ALCOHOLIC: PARTIAL; SKIN: PARTIAL,,,,55,,,,,,,,,,,,,,,,
Molly Hagemann,SKELETON: WHOLE; SKIN: PARTIAL,,,,2354,,,,,,,,,,,,,,,,
Molly Hagemann,SKELETON: WHOLE; SKIN: PARTIAL; SKIN: PARTIAL; ALCOHOLIC: PARTIAL,,,,6,,,,,,,,,,,,,,,,
Molly Hagemann,SKIMN,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKIN - ; BREEDING,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKIN - ; NESTLING OF THIS SPECIES IN SPIRITS,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKIN - ; STOMACH SAVED,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKIN - 1; SKELETON - 1; SYRINX - 1; TISSUE - 100,,,,27,,,,,,,,,,,,,,,,
Molly Hagemann,SKIN (DRY); TISSUE (FROZEN: VAPOR PHASE NITROGEN); TISSUE (FROZEN: VAPOR PHASE NITROGEN); TISSUE (FROZEN) SAMPLE,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKIN (DRY); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER),,,,2,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN (SCHMOO) (SCHMOO), TISSUE, SKELETON (SCHMOO), SKELETON, TISSUE",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN (SKIN, SPREAD WING) (SKIN, SPREAD WING), TISSUE, HEART, LIVER, MUSCLE (SKIN, SPREAD WING), TISSUE, HEART, LIVER, MUSCLE, SKELETON (PARTIAL SKELETON), SKELETON (PARTIAL SKELETON)",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKIN + 1 EGG (?),,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKIN = RELAXED MOUNT,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKIN STUDY; SKELETON POSTCRAN; TOEPAD; FEATHER; BONE SAMPLE,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKIN STUDY; TOEPAD; FEATHER,STUDY_SKIN | TOE PAD | FEATHER,,,82462,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN, FLAT; WING (DRY); WING (DRY)",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN, MOUNTED (LAWRENCE'S WARBLER (BACKCROSS HYBRID))",,,,3,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN, MOUNTED (NON-BREEDING PLUMAGE, STANDING, FEET MISSING)",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN, MOUNTED (STANDING, DISPLAYING TAIL)",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN, MOUNTED (TUMBLER)",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN, MOUNTED (WINGS OUTSTREATCHED UNNATURALLY UPWARD)",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN, ROUND (CRANIUM & BRAIN PRESERVED IN FORMALIN & DONATED TO UNIVERSITY OF ALBERTA FOR NEUROSCIENCE RESEARCH); WING; TISSUE FROZEN",,,,3,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN, ROUND (EXCHANGED TO U OF KANSAS MNH IN 1985)",,,,21,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN, ROUND (EXCHZNGED)",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN, ROUND; 10% FORM.->70% ALC. (PARTIAL) (CARCASS)",,,,2,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN, ROUND; SKELETON (INCOMPLETE); TISSUE FROZEN",,,,16,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN, SKELETON (PARTIAL SKELETON), SKELETON (PARTIAL SKELETON), TISSUE, TISSUE",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN, STUDY; BLOOD (SLIDE SMEAR); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); SWAB, CLOACAL (RNALATER)",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN, STUDY; HEART (FROZEN); KIDNEY (FROZEN); LIVER (FROZEN); ECTOPARASITE (ETHANOL); SKELETON, POSTCRANIAL; MUSCLE (FROZEN)",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN, STUDY; HEART, KIDNEY, LIVER, MUSCLE (FROZEN); SKELETON, PARTIAL",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN, STUDY; HEART, LIVER, MUSCLE (FROZEN); STOMACH (95% ETHANOL); HEART, LIVER, MUSCLE (FROZEN) SAMPLE",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN, STUDY; LIVER (FROZEN); ENDOPARASITE (ETHANOL); HEART, KIDNEY, MUSCLE (FROZEN); ECTOPARASITE (ETHANOL); SKELETON, PARTIAL",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN, STUDY; SKELETON, POSTCRANIAL; MUSCLE (FROZEN); LIVER (FROZEN); HEART, KIDNEY (FROZEN); ENDOPARASITE (70% ETHANOL)",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN, STUDY; TISSUE (RNALATER); TISSUE (RNALATER); BLOOD (LYSIS BUFFER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); BLOOD (SLIDE SMEAR)",,,,5,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN, STUDY; TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); TISSUE (RNALATER); BLOOD (LYSIS BUFFER)",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKIN; (BEAK ONLY),,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN; BLOOD (FLASH-FROZEN); HEART, LIVER, MUSCLE (FROZEN); MUSCLE (RNALATER)",,,,117,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN; BLOOD (FLASH-FROZEN); HEART; LUNG (FROZEN); LIVER, MUSCLE (FROZEN); BLOOD (SLIDE SMEAR); HEART (FROZEN); MUSCLE (RNALATER)",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN; BLOOD (FROZEN); HEART, LIVER, MUSCLE (FROZEN); MUSCLE (RNALATER); SKELETON, PARTIAL; BLOOD (SLIDE SMEAR); BLOOD (FLASH-FROZEN); BLOOD (FROZEN)",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN; BLOOD (FROZEN); HEART, LIVER, MUSCLE (FROZEN); SKELETON, PARTIAL; LUNG (FROZEN); LIVER, MUSCLE (FROZEN); BLOOD (FLASH-FROZEN); MUSCLE (RNALATER)",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN; BLOOD (SLIDE SMEAR); HEART, LIVER, MUSCLE (FROZEN); LUNG (FROZEN); MUSCLE (RNALATER); BLOOD (FLASH-FROZEN); HEART, LIVER, MUSCLE (FROZEN) SAMPLE",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN; BLOOD (SLIDE SMEAR); HEART, LIVER, MUSCLE (FROZEN); MUSCLE (RNALATER); BLOOD (FLASH-FROZEN); LUNG (FROZEN); LUNG (FROZEN)",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN; BLOOD (SLIDE SMEAR); HEART, LIVER, MUSCLE (FROZEN); MUSCLE (RNALATER); BLOOD (FROZEN); MUSCLE (RNALATER) SAMPLE; MUSCLE (RNALATER) SAMPLE",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKIN; BLOOD (SLIDE SMEAR); MUSCLE (RNALATER); BLOOD (FLASH-FROZEN),,,,40,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN; DNA (FROZEN); SKELETON; STOMACH (95% ETHANOL); HEART, LIVER, MUSCLE (FROZEN); HEART, KIDNEY, LUNG (FROZEN)",,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,SKIN; ECXH; EXCH TO U. S. NAT. MUSEUM 1903,,,,1,,,,,,,,,,,,,,,,
Molly Hagemann,"SKIN; EXCH; EXCH TO A SCHWARTZ, MIAMI, FLORIDA. 13 JAN 1964",,,,2,,,,,,,,,,,,,,,,
Molly Hagemann,SKIN; EXCH; EXCH TO A SCHWARTZ: MIAMI FLA. 13 JAN 1964,,,,3,,,,,,,,,,,,,,,,
Molly Hagemann,SKIN; EXCH; EXCH TO A. T. WAYNE DEC 1925,,,,3,,,,,,,,,,,,,,,,
